"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88238","User can add a product to cart from PDP","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","6794","Product images are displayed on PDP","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","300586","User can remove a product from cart","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can remove a product from cart",""
"","4181","Search suggestions appear on partial input","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","5232","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4980","Search with invalid term shows no results message","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","4067","Guest user can browse without login","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Guest user can browse without login",""
"","4310","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","199709","User can navigate to Flipkart home via logo","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","65483","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4656","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4809","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4570","User can sort results by popularity","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can sort results by popularity",""
"","28626","User can proceed to checkout from cart","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","3056","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300632","Search handles all boundary and security input cases","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4609","User can sort results by price low to high","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can sort results by price low to high",""
"","4642","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300593","Search handles all boundary and security input cases","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","5000","Search for a valid product returns results","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search for a valid product returns results",""
"","7341","Product ratings and reviews section is visible","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","5594","User can filter search results by brand","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can filter search results by brand",""
"","2708","Homepage banners are displayed","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Homepage banners are displayed",""
"","8994","User can open a product detail page","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can open a product detail page",""
"","300626","Search handles all boundary and security input cases","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","200484","Cart persists product after page refresh","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Cart persists product after page refresh",""
