"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5402","User can sort results by popularity","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can sort results by popularity",""
"","5967","User can filter search results by brand","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can filter search results by brand",""
"","3769","Search suggestions appear on partial input","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","144838","Cart persists product after page refresh","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Cart persists product after page refresh",""
"","141720","User can navigate to Flipkart home via logo","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","143648","Product images are displayed on PDP","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","140836","User can sort results by price low to high","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can sort results by price low to high",""
"","10388","User can add a product to cart from PDP","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","6433","Search with invalid term shows no results message","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","140554","Search for a product returns results","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Search for a product returns results",""
"","8323","Product ratings and reviews section is visible","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","9739","User can open a product detail page","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","User can open a product detail page",""
"","11217","User can proceed to checkout from cart","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","2479","Homepage banners are displayed","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Homepage banners are displayed",""
"","134625","Guest user can browse without login","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","Guest user can browse without login",""
"","300441","User can remove a product from cart","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","User can remove a product from cart",""
