"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Flipkart E2E Flows","0","1","Category navigation loads correct page","0"
"0","","0","Flipkart E2E Flows","0","1","Guest user can browse without login","0"
"0","","0","Flipkart E2E Flows","0","1","User can add a product to cart from PDP","0"
"0","","0","Flipkart E2E Flows","0","1","Login fails with invalid credentials","0"
"0","","0","Flipkart E2E Flows","0","1","User can filter search results by price range","0"
"0","","0","Flipkart E2E Flows","0","1","Homepage banners are displayed","0"
"0","","0","Flipkart E2E Flows","0","1","Search for a product returns results","0"
"0","","0","Flipkart E2E Flows","0","1","Logged-in user can add product to wishlist","0"
"0","","0","Flipkart E2E Flows","0","1","Search with invalid term shows no results message","0"
"0","","0","Flipkart E2E Flows","0","1","Product ratings and reviews section is visible","0"
"0","","0","Flipkart E2E Flows","0","1","User can open a product detail page","0"
"0","","0","Flipkart E2E Flows","0","1","Login with valid credentials","0"
"0","","0","Flipkart E2E Flows","0","1","Guest user is prompted to login when adding to wishlist","0"
"0","","0","Flipkart E2E Flows","0","1","User can remove a product from cart","0"
"0","","0","Flipkart E2E Flows","0","1","User can sort results by price low to high","0"
"0","","0","Flipkart E2E Flows","0","1","User can navigate to Flipkart home via logo","0"
"0","","0","Flipkart E2E Flows","0","1","Deals of the Day section is visible","0"
"0","","0","SauceDemo E2E Purchase Flow","1","0","Quick smoke test - Add single product to cart","0"
"0","","0","Flipkart E2E Flows","0","1","Product images are displayed on PDP","0"
"0","","0","Flipkart E2E Flows","0","1","User can sort results by popularity","0"
"0","","0","Flipkart E2E Flows","0","1","User can proceed to checkout from cart","0"
"0","","0","Flipkart E2E Flows","0","1","Search suggestions appear on partial input","0"
"0","","0","Flipkart E2E Flows","0","1","User can filter search results by brand","0"
"0","","0","Flipkart E2E Flows","0","1","Cart persists product after page refresh","0"
"0","","0","SauceDemo E2E Purchase Flow","1","0","Login fails with locked out user","0"
"0","","0","SauceDemo E2E Purchase Flow","1","0","Complete E2E purchase flow with valid user","0"
