"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","700","Category navigation loads correct page","","Tue May 12 17:44:11 UTC 2026","skipped","Tue May 12 17:44:12 UTC 2026","","Flipkart E2E Flows","Category navigation loads correct page",""
"","6366","Guest user can browse without login","","Tue May 12 17:44:01 UTC 2026","skipped","Tue May 12 17:44:07 UTC 2026","","Flipkart E2E Flows","Guest user can browse without login",""
"","713","User can add a product to cart from PDP","","Tue May 12 17:44:10 UTC 2026","skipped","Tue May 12 17:44:10 UTC 2026","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","6358","Login fails with invalid credentials","","Tue May 12 17:44:01 UTC 2026","skipped","Tue May 12 17:44:07 UTC 2026","","Flipkart E2E Flows","Login fails with invalid credentials",""
"","802","User can filter search results by price range","","Tue May 12 17:44:09 UTC 2026","skipped","Tue May 12 17:44:10 UTC 2026","","Flipkart E2E Flows","User can filter search results by price range",""
"","711","Homepage banners are displayed","","Tue May 12 17:44:12 UTC 2026","skipped","Tue May 12 17:44:13 UTC 2026","","Flipkart E2E Flows","Homepage banners are displayed",""
"","804","Search for a product returns results","","Tue May 12 17:44:07 UTC 2026","skipped","Tue May 12 17:44:08 UTC 2026","","Flipkart E2E Flows","Search for a product returns results",""
"","806","Logged-in user can add product to wishlist","","Tue May 12 17:44:10 UTC 2026","skipped","Tue May 12 17:44:11 UTC 2026","","Flipkart E2E Flows","Logged-in user can add product to wishlist",""
"","822","Search with invalid term shows no results message","","Tue May 12 17:44:07 UTC 2026","skipped","Tue May 12 17:44:08 UTC 2026","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","861","Product ratings and reviews section is visible","","Tue May 12 17:44:08 UTC 2026","skipped","Tue May 12 17:44:09 UTC 2026","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","785","User can open a product detail page","","Tue May 12 17:44:08 UTC 2026","skipped","Tue May 12 17:44:09 UTC 2026","","Flipkart E2E Flows","User can open a product detail page",""
"","6299","Login with valid credentials","","Tue May 12 17:44:01 UTC 2026","skipped","Tue May 12 17:44:07 UTC 2026","","Flipkart E2E Flows","Login with valid credentials",""
"","740","Guest user is prompted to login when adding to wishlist","","Tue May 12 17:44:11 UTC 2026","skipped","Tue May 12 17:44:11 UTC 2026","","Flipkart E2E Flows","Guest user is prompted to login when adding to wishlist",""
"","871","User can remove a product from cart","","Tue May 12 17:44:10 UTC 2026","skipped","Tue May 12 17:44:11 UTC 2026","","Flipkart E2E Flows","User can remove a product from cart",""
"","867","User can sort results by price low to high","","Tue May 12 17:44:09 UTC 2026","skipped","Tue May 12 17:44:10 UTC 2026","","Flipkart E2E Flows","User can sort results by price low to high",""
"","784","User can navigate to Flipkart home via logo","","Tue May 12 17:44:11 UTC 2026","skipped","Tue May 12 17:44:12 UTC 2026","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","736","Deals of the Day section is visible","","Tue May 12 17:44:12 UTC 2026","skipped","Tue May 12 17:44:13 UTC 2026","","Flipkart E2E Flows","Deals of the Day section is visible",""
"","2138","Quick smoke test - Add single product to cart","","Tue May 12 17:44:13 UTC 2026","passed","Tue May 12 17:44:15 UTC 2026","","SauceDemo E2E Purchase Flow","Quick smoke test - Add single product to cart",""
"","727","Product images are displayed on PDP","","Tue May 12 17:44:08 UTC 2026","skipped","Tue May 12 17:44:09 UTC 2026","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","813","User can sort results by popularity","","Tue May 12 17:44:10 UTC 2026","skipped","Tue May 12 17:44:10 UTC 2026","","Flipkart E2E Flows","User can sort results by popularity",""
"","723","User can proceed to checkout from cart","","Tue May 12 17:44:11 UTC 2026","skipped","Tue May 12 17:44:12 UTC 2026","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","893","Search suggestions appear on partial input","","Tue May 12 17:44:07 UTC 2026","skipped","Tue May 12 17:44:08 UTC 2026","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","856","User can filter search results by brand","","Tue May 12 17:44:09 UTC 2026","skipped","Tue May 12 17:44:10 UTC 2026","","Flipkart E2E Flows","User can filter search results by brand",""
"","879","Cart persists product after page refresh","","Tue May 12 17:44:10 UTC 2026","skipped","Tue May 12 17:44:11 UTC 2026","","Flipkart E2E Flows","Cart persists product after page refresh",""
"","2286","Login fails with locked out user","","Tue May 12 17:44:13 UTC 2026","passed","Tue May 12 17:44:15 UTC 2026","","SauceDemo E2E Purchase Flow","Login fails with locked out user",""
"","3652","Complete E2E purchase flow with valid user","","Tue May 12 17:44:12 UTC 2026","passed","Tue May 12 17:44:16 UTC 2026","","SauceDemo E2E Purchase Flow","Complete E2E purchase flow with valid user",""
