"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94525","Cart persists product after page refresh","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Cart persists product after page refresh",""
"","63900","Homepage banners are displayed","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Homepage banners are displayed",""
"","4938","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","10893","User can remove a product from cart","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can remove a product from cart",""
"","23480","Guest user can browse without login","","2026-06-16","failed","2026-06-16","","Flipkart E2E Flows","Guest user can browse without login",""
"","10759","User can add a product to cart from PDP","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","4868","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","89948","User can navigate to Flipkart home via logo","","2026-06-16","failed","2026-06-16","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","5330","User can sort results by popularity","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can sort results by popularity",""
"","4836","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","5333","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4956","Search with invalid term shows no results message","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","202367","User can sort results by price low to high","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","User can sort results by price low to high",""
"","5330","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","201063","Search handles all boundary and security input cases","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","28357","Product ratings and reviews section is visible","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","5351","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","8817","Product images are displayed on PDP","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","5477","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300486","Search handles all boundary and security input cases","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300444","User can proceed to checkout from cart","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","300478","Search for a valid product returns results","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search for a valid product returns results",""
"","5392","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300493","Search suggestions appear on partial input","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","7426","User can open a product detail page","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can open a product detail page",""
"","300448","User can filter search results by brand","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","User can filter search results by brand",""
