"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2682","Homepage banners are displayed","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Homepage banners are displayed",""
"","300463","User can remove a product from cart","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","User can remove a product from cart",""
"","6042","Search suggestions appear on partial input","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","268531","User can sort results by popularity","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","User can sort results by popularity",""
"","145603","User can proceed to checkout from cart","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","4890","Guest user can browse without login","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Guest user can browse without login",""
"","8978","Search for a product returns results","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Search for a product returns results",""
"","143636","User can navigate to Flipkart home via logo","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","7818","Search with invalid term shows no results message","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","6511","User can open a product detail page","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","User can open a product detail page",""
"","10084","Product ratings and reviews section is visible","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","146569","Cart persists product after page refresh","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Cart persists product after page refresh",""
"","300558","User can add a product to cart from PDP","","2026-06-08","broken","2026-06-08","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","11288","Product images are displayed on PDP","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","5186","User can sort results by price low to high","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can sort results by price low to high",""
"","8541","User can filter search results by brand","","2026-06-08","passed","2026-06-08","","Flipkart E2E Flows","User can filter search results by brand",""
