"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38580","Product ratings and reviews section is visible","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","10626","User can remove a product from cart","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can remove a product from cart",""
"","5608","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300465","User can navigate to Flipkart home via logo","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","4726","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","66266","User can filter search results by brand","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can filter search results by brand",""
"","5625","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4777","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","5961","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","11218","User can add a product to cart from PDP","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","5668","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4991","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","12156","Cart persists product after page refresh","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Cart persists product after page refresh",""
"","4997","User can sort results by popularity","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can sort results by popularity",""
"","5955","User can sort results by price low to high","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","User can sort results by price low to high",""
"","300507","Search suggestions appear on partial input","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","5524","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300478","User can open a product detail page","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","User can open a product detail page",""
"","3324","Search handles all boundary and security input cases","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","17863","Search handles all boundary and security input cases","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","2539","Homepage banners are displayed","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Homepage banners are displayed",""
"","65815","Search with invalid term shows no results message","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","195425","Search for a valid product returns results","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","Search for a valid product returns results",""
"","71061","Product images are displayed on PDP","","2026-06-16","passed","2026-06-16","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","300457","User can proceed to checkout from cart","","2026-06-16","broken","2026-06-16","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","96436","Guest user can browse without login","","2026-06-16","failed","2026-06-16","","Flipkart E2E Flows","Guest user can browse without login",""
